n_estimators,max_depth,min_samples_split,class_weight,ROC_AUC,Balanced_Accuracy,Precision_0,Precision_1,Recall_0,Recall_1,F1_0,F1_1,TN,FP,FN,TP
200,5.0,5,,0.8106168676782086,0.5934631622934048,0.8444444444444444,0.8971061093247589,0.1919191919191919,0.9950071326676176,0.31275720164609055,0.9435238417314846,38,160,7,1395
100,5.0,5,balanced_subsample,0.8104223403795443,0.569410222049309,0.14274447949526814,0.9487951807228916,0.9141414141414141,0.22467902995720399,0.24693042291950887,0.3633217993079585,181,17,1087,315
200,5.0,2,,0.8102710413694721,0.5963450481995418,0.8666666666666667,0.8977491961414791,0.19696969696969696,0.9957203994293866,0.32098765432098764,0.944200202908353,39,159,6,1396
200,10.0,5,,0.8102602342973241,0.7346071269038459,0.7698412698412699,0.9314789687924017,0.4898989898989899,0.9793152639087018,0.5987654320987654,0.954798331015299,97,101,29,1373
100,5.0,5,,0.8100188763526852,0.5985136673439099,0.851063829787234,0.8982614294913072,0.20202020202020202,0.9950071326676176,0.32653061224489793,0.9441624365482234,40,158,7,1395
400,10.0,2,,0.8099396244902664,0.7331517745212467,0.7868852459016393,0.9309878213802436,0.48484848484848486,0.9814550641940085,0.6,0.9555555555555556,96,102,26,1376
200,,5,,0.8094533062436058,0.7451512269629246,0.6797385620915033,0.93503800967519,0.5252525252525253,0.9650499286733238,0.5925925925925926,0.9498069498069498,104,94,49,1353
100,5.0,2,,0.8092912001613857,0.6035641723944148,0.8571428571428571,0.8994197292069632,0.21212121212121213,0.9950071326676176,0.340080971659919,0.9448018963765662,42,156,7,1395
200,,2,balanced,0.808939970316575,0.6959862534042277,0.7714285714285715,0.9217391304347826,0.4090909090909091,0.9828815977175464,0.5346534653465347,0.9513289609941319,81,117,24,1378
100,,2,balanced,0.8086355711177394,0.6873405956858167,0.7428571428571429,0.919732441471572,0.3939393939393939,0.9807417974322397,0.5148514851485149,0.9492578529513289,78,120,27,1375
400,10.0,5,,0.8086211616882089,0.7158604590844249,0.7377049180327869,0.9269282814614344,0.45454545454545453,0.9771754636233951,0.5625,0.9513888888888888,90,108,32,1370
100,10.0,2,balanced,0.8070613409415122,0.7720212106802692,0.42628205128205127,0.9495341614906833,0.6717171717171717,0.8723252496433667,0.5215686274509804,0.9092936802973978,133,65,179,1223
100,,2,balanced_subsample,0.8054402801193101,0.6664541275810891,0.6635514018691588,0.9149363697253852,0.35858585858585856,0.9743223965763196,0.46557377049180326,0.9436960276338515,71,127,36,1366
